Metric,Bias Before Imputation,Bias After Imputation,MSE Before Imputation,MSE After Imputation,R-squared Before Imputation,R-squared After Imputation
Mean,-0.31007623540632545,-0.020693012731022715,0.11203150033091695,0.002646336191687391,0.7363477706126501,0.9949057780172671
SD,-0.27057049108778014,-0.022998898316877597,0.08937441701547476,0.0166721156194505,-1.2074307788275673,0.8962242795967786
CV,-3.9806679734180097,-0.4862521449316417,0.1831939496802388,0.03222943062521403,-0.2347474958904716,0.9015826014658486
