Metric,Bias Before Imputation,Bias After Imputation,MSE Before Imputation,MSE After Imputation
Mean,-1.0293740777563016,-0.44422029482993824,1.0760703463742212,0.21634696092460592
SD,-0.8031234983698458,-0.336083080359217,0.6767099252814756,0.12181615044826098
CV,-0.05639240504281564,-0.021763758636415304,0.003438465726317834,0.0005782053728793241
