Metric,Bias Before Imputation,Bias After Imputation,MSE Before Imputation,MSE After Imputation,R-squared Before Imputation,R-squared After Imputation
Mean,-1.12402017124668,-0.3619910213528752,1.4214044284718728,0.26608701364815956,0.8090426221075099,0.9675338399573394
SD,-0.8125815130589801,-0.2257981458783301,0.7938606390988053,0.18119171381833313,-0.7537280831913682,0.7027955436481843
CV,-6.085329916509162,-1.5430997544126746,0.5112376504334768,0.12876993902730288,0.058392617760913645,0.7632011702639213
