Metric,Bias Before Imputation,Bias After Imputation,MSE Before Imputation,MSE After Imputation,R-squared Before Imputation,R-squared After Imputation
Mean,-0.7877226933568111,-0.13937689758222083,0.6959938008298787,0.050271836420856635,0.9093279025082742,0.9937732621628171
SD,-0.6152950718143063,-0.1391719400449982,0.47189303682379463,0.07986586431185473,0.07500251390531654,0.8615612479932455
CV,-4.656602048549713,-1.0731706342849407,0.31880597457734566,0.056452752974103855,0.4132687466736559,0.8976008328362242
