Metric,Bias Before Imputation,Bias After Imputation,MSE Before Imputation,MSE After Imputation
Mean,-0.8046047217736216,-0.2974106596466988,0.7246044070965567,0.19102138721859913
SD,-0.6136670125319916,-0.06099251539913567,0.46382804467166056,0.09539057335619437
CV,-0.045635606286232824,0.0002600563462613805,0.003019875473681876,0.0007843440365821045
