Metric,Bias Before Imputation,Bias After Imputation,MSE Before Imputation,MSE After Imputation,R-squared Before Imputation,R-squared After Imputation
Mean,-0.4270451283838753,-0.025904791084006562,0.20723039200085627,0.004559408826596814,0.9738330151740384,0.9994380291251364
SD,-0.36975290998204985,-0.03977218037417215,0.18170738821141402,0.01484355897830977,0.6663204864041787,0.9756832809852097
CV,-2.8117888139404874,-0.3253516007208955,0.12249194024608877,0.010422764986376919,0.7691100642470152,0.9814248357721728
