Metric,Bias Before Imputation,Bias After Imputation,MSE Before Imputation,MSE After Imputation,R-squared Before Imputation,R-squared After Imputation
Mean,-0.22784467218323795,-0.011662713669036182,0.059224453410747335,0.0004255125310507933,0.9925856567567447,0.9999475972528864
SD,-0.212641718067399,-0.024161744578711626,0.06071915148066647,0.002310907767464364,0.8946471254672494,0.9962367505206151
CV,-1.6168346620050684,-0.20703861140276644,0.040492921036854646,0.001818836643712408,0.9256757724552642,0.9967207262371054
