Metric,Bias Before Imputation,Bias After Imputation,MSE Before Imputation,MSE After Imputation
Mean,-1.1699711348478883,-0.3796437753399585,1.5058474066309948,0.21883681101862856
SD,-0.9419423914738665,-0.06607722433873872,0.9967082844381799,0.0720532761847165
CV,-0.08055158633128673,0.002689217943975247,0.00764370040198369,0.000650859940244334
