Metric,Bias Before Imputation,Bias After Imputation,MSE Before Imputation,MSE After Imputation
Mean,-0.25055402396084664,-0.05709532874608971,0.06931630141059672,0.006511974899807156
SD,-0.23266148035633033,-0.02763047527184117,0.06123428973402893,0.0010007587632970753
CV,-1.904131103575061,-0.15896875636256025,0.04157241739888787,0.000562700645860392
