Metric,Bias Before Imputation,Bias After Imputation,MSE Before Imputation,MSE After Imputation,R-squared Before Imputation,R-squared After Imputation
Mean,-0.9752614546519613,-0.21909922346260538,1.0302279015453863,0.0720332784165479,0.427099993701588,0.9671198036870211
SD,-0.7740755194648415,-0.2388516358831442,0.6530512366959953,0.09177415005109808,-0.0996613518372178,0.8690973163436679
CV,-5.801935469878894,-1.9821349574607239,0.3919149178779318,0.06947439783245037,0.3569859113633803,0.8647648761664762
