Metric,Bias Before Imputation,Bias After Imputation,MSE Before Imputation,MSE After Imputation,R-squared Before Imputation,R-squared After Imputation
Mean,-0.536477190715878,-0.05739197133882244,0.3104845120121393,0.005789714867521708,0.8460134216418435,0.9974289540238693
SD,-0.46934832199613535,-0.08418733629032563,0.23986737752315437,0.01402958084390075,0.6446356244303816,0.9813865121029322
CV,-3.590306525676411,-0.7766805748078102,0.15008713448044755,0.012932748543616814,0.7421224249322016,0.9759187391239339
