Metric,Bias Before Imputation,Bias After Imputation,MSE Before Imputation,MSE After Imputation,R-squared Before Imputation,R-squared After Imputation
Mean,-0.2909168122171352,-0.0182774377880963,0.09091271681518122,0.0005454171748543899,0.9574948498480803,0.9997593033151829
SD,-0.26956643380899403,-0.0326480079543408,0.07917084178945824,0.0019527829197419303,0.8905761639284263,0.9974533137836736
CV,-2.0840274449491947,-0.3158566602699376,0.051017408058367054,0.0019940279527174676,0.9102092009652958,0.9963391010744208
