Metric,Bias Before Imputation,Bias After Imputation,MSE Before Imputation,MSE After Imputation,R-squared Before Imputation,R-squared After Imputation
Mean,-1.3679271061322504,-0.48476805832310715,2.0350822289344306,0.3265470806932492,-0.2667751315643443,0.8434617071216224
SD,-1.0033862497257224,-0.38132174649382,1.0989980686369765,0.2139911429103299,-1.0814249401569827,0.6647729808211755
CV,-7.376351671085731,-2.609211583779112,0.6386180392153068,0.12613304727853372,0.006863211066858721,0.7611853677072056
